year	month	day	hour	min
2007	1	19	4	1
2007	2	17	16	14
2007	3	19	2	43
2007	4	17	11	36
2007	5	16	19	27
2007	6	15	3	13
2007	7	14	12	4
2007	8	12	23	3
2007	9	11	12	44
2007	10	11	5	1
2007	11	9	23	3
2007	12	9	17	40
2008	1	8	11	37
2008	2	7	3	44
2008	3	7	17	14
2008	4	6	3	55
2008	5	5	12	18
2008	6	3	19	23
2008	7	3	2	19
2008	8	1	10	13
2008	8	30	19	58
2008	9	29	8	12
2008	10	28	23	14
2008	11	27	16	55
2008	12	27	12	22
2009	1	26	7	55
2009	2	25	1	35
2009	3	26	16	6
2009	4	25	3	23
2009	5	24	12	11
2009	6	22	19	35
2009	7	22	2	35
2009	8	20	10	2
2009	9	18	18	44
2009	10	18	5	33
2009	11	16	19	14
2009	12	16	12	2
2010	1	15	7	11
2010	2	14	2	51
2010	3	15	21	1
2010	4	14	12	29
2010	5	14	1	4
2010	6	12	11	15
2010	7	11	19	40
2010	8	10	3	8
2010	9	8	10	30
2010	10	7	18	44
2010	11	6	4	52
2010	12	5	17	36
2011	1	4	9	3
2011	2	3	2	31
2011	3	4	20	46
2011	4	3	14	32
2011	5	3	6	51
2011	6	1	21	3
2011	7	1	8	54
2011	7	30	18	40
2011	8	29	3	4
2011	9	27	11	9
2011	10	26	19	56
2011	11	25	6	10
2011	12	24	18	6
2012	1	23	7	39
2012	2	21	22	35
2012	3	22	14	37
2012	4	21	7	18
2012	5	20	23	47
2012	6	19	15	2
2012	7	19	4	24
2012	8	17	15	54
2012	9	16	2	11
2012	10	15	12	2
2012	11	13	22	8
2012	12	13	8	42
2013	1	11	19	44
2013	2	10	7	20
2013	3	11	19	51
2013	4	10	9	35
2013	5	10	0	28
2013	6	8	15	56
2013	7	8	7	14
2013	8	6	21	51
2013	9	5	11	36
2013	10	5	0	34
2013	11	3	12	50
2013	12	3	0	22
2014	1	1	11	14
2014	1	30	21	38
2014	3	1	8	0
2014	3	30	18	45
2014	4	29	6	14
2014	5	28	18	40
2014	6	27	8	8
2014	7	26	22	42
2014	8	25	14	13
2014	9	24	6	14
2014	10	23	21	57
2014	11	22	12	32
2014	12	22	1	36
2015	1	20	13	14
2015	2	18	23	47
2015	3	20	9	36
2015	4	18	18	57
2015	5	18	4	13
2015	6	16	14	5
2015	7	16	1	24
2015	8	14	14	53
2015	9	13	6	41
2015	10	13	0	6
2015	11	11	17	47
2015	12	11	10	29
2016	1	10	1	30
2016	2	8	14	39
2016	3	9	1	54
2016	4	7	11	24
2016	5	6	19	29
2016	6	5	2	59
2016	7	4	11	1
2016	8	2	20	44
2016	9	1	9	3
2016	10	1	0	11
2016	10	30	17	38
2016	11	29	12	18
2016	12	29	6	53
2017	1	28	0	7
2017	2	26	14	58
2017	3	28	2	57
2017	4	26	12	16
2017	5	25	19	44
2017	6	24	2	31
2017	7	23	9	45
2017	8	21	18	30
2017	9	20	5	30
2017	10	19	19	12
2017	11	18	11	42
2017	12	18	6	30
2018	1	17	2	17
2018	2	15	21	5
2018	3	17	13	11
2018	4	16	1	57
2018	5	15	11	48
2018	6	13	19	43
2018	7	13	2	48
2018	8	11	9	58
2018	9	9	18	1
2018	10	9	3	47
2018	11	7	16	2
2018	12	7	7	20
2019	1	6	1	28
2019	2	4	21	3
2019	3	6	16	4
2019	4	5	8	50
2019	5	4	22	45
2019	6	3	10	2
2019	7	2	19	16
2019	8	1	3	12
2019	8	30	10	37
2019	9	28	18	26
2019	10	28	3	38
2019	11	26	15	5
2019	12	26	5	13
2020	1	24	21	42
2020	2	23	15	32
2020	3	24	9	28
2020	4	23	2	26
2020	5	22	17	39
2020	6	21	6	41
2020	7	20	17	33
2020	8	19	2	42
2020	9	17	11	0
2020	10	16	19	31
2020	11	15	5	7
2020	12	14	16	16
2021	1	13	5	0
2021	2	11	19	6
2021	3	13	10	21
2021	4	12	2	31
2021	5	11	19	0
2021	6	10	10	53
2021	7	10	1	16
2021	8	8	13	50
2021	9	7	0	52
2021	10	6	11	5
2021	11	4	21	14
2021	12	4	7	43
2022	1	2	18	33
2022	2	1	5	46
2022	3	2	17	35
2022	4	1	6	24
2022	4	30	20	28
2022	5	30	11	30
2022	6	29	2	52
2022	7	28	17	55
2022	8	27	8	17
2022	9	25	21	54
2022	10	25	10	49
2022	11	23	22	57
2022	12	23	10	17
2023	1	21	20	53
2023	2	20	7	6
2023	3	21	17	23
2023	4	20	4	12
2023	5	19	15	53
2023	6	18	4	37
2023	7	17	18	32
2023	8	16	9	38
2023	9	15	1	40
2023	10	14	17	55
2023	11	13	9	27
2023	12	12	23	32
2024	1	11	11	57
2024	2	9	22	59
2024	3	10	9	0
2024	4	8	18	21
2024	5	8	3	22
2024	6	6	12	38
2024	7	5	22	57
2024	8	4	11	13
2024	9	3	1	55
2024	10	2	18	49
2024	11	1	12	47
2024	12	1	6	21
2024	12	30	22	27
2025	1	29	12	36
2025	2	28	0	45
2025	3	29	10	58
2025	4	27	19	31
2025	5	27	3	2
2025	6	25	10	31
2025	7	24	19	11
2025	8	23	6	6
2025	9	21	19	54
2025	10	21	12	25
2025	11	20	6	47
2025	12	20	1	43
2026	1	18	19	52
2026	2	17	12	1
2026	3	19	1	23
2026	4	17	11	52
2026	5	16	20	1
2026	6	15	2	54
2026	7	14	9	43
2026	8	12	17	37
2026	9	11	3	27
2026	10	10	15	50
2026	11	9	7	2
2026	12	9	0	52
2027	1	7	20	24
2027	2	6	15	56
2027	3	8	9	29
2027	4	6	23	51
2027	5	6	10	58
2027	6	4	19	40
2027	7	4	3	2
2027	8	2	10	5
2027	8	31	17	41
2027	9	30	2	36
2027	10	29	13	36
2027	11	28	3	24
2027	12	27	20	12
2028	1	26	15	12
2028	2	25	10	37
2028	3	26	4	31
2028	4	24	19	47
2028	5	24	8	16
2028	6	22	18	27
2028	7	22	3	2
2028	8	20	10	44
2028	9	18	18	24
2028	10	18	2	57
2028	11	16	13	18
2028	12	16	2	6
2029	1	14	17	24
2029	2	13	10	31
2029	3	15	4	19
2029	4	13	21	40
2029	5	13	13	42
2029	6	12	3	50
2029	7	11	15	51
2029	8	10	1	56
2029	9	8	10	44
2029	10	7	19	14
2029	11	6	4	24
2029	12	5	14	52
2030	1	4	2	49
2030	2	2	16	7
2030	3	4	6	34
2030	4	2	22	2
2030	5	2	14	12
2030	6	1	6	21
2030	6	30	21	34
2030	7	30	11	11
2030	8	28	23	7
2030	9	27	9	54
2030	10	26	20	17
2030	11	25	6	46
2030	12	24	17	32
2031	1	23	4	31
2031	2	21	15	49
2031	3	23	3	49
2031	4	21	16	57
2031	5	21	7	17
2031	6	19	22	24
2031	7	19	13	40
2031	8	18	4	32
2031	9	16	18	47
2031	10	16	8	20
2031	11	14	21	9
2031	12	14	9	6
2032	1	12	20	6
2032	2	11	6	24
2032	3	11	16	24
2032	4	10	2	39
2032	5	9	13	35
2032	6	8	1	32
2032	7	7	14	41
2032	8	6	5	11
2032	9	4	20	56
2032	10	4	13	26
2032	11	3	5	45
2032	12	2	20	53
2033	1	1	10	17
2033	1	30	22	0
2033	3	1	8	23
2033	3	30	17	51
2033	4	29	2	46
2033	5	28	11	36
2033	6	26	21	7
2033	7	26	8	12
2033	8	24	21	40
2033	9	23	13	40
2033	10	23	7	28
2033	11	22	1	39
2033	12	21	18	46
2034	1	20	10	1
2034	2	18	23	10
2034	3	20	10	14
2034	4	18	19	26
2034	5	18	3	12
2034	6	16	10	26
2034	7	15	18	15
2034	8	14	3	53
2034	9	12	16	14
2034	10	12	7	32
2034	11	11	1	16
2034	12	10	20	14
2035	1	9	15	3
2035	2	8	8	22
2035	3	9	23	9
2035	4	8	10	58
2035	5	7	20	4
2035	6	6	3	20
2035	7	5	9	59
2035	8	3	17	12
2035	9	2	1	59
2035	10	1	13	7
2035	10	31	2	58
2035	11	29	19	37
2035	12	29	14	31